UN;Codigo;Servicio;Sentido;Periodo;Frecuencia_buses_hr;Velocidad_kmh
3;329;329;Ret;PRENOC1;0,0;0,0
3;329;329;Ret;PRENOC2;2,5;23,8
3;329;329;Ret;PTA1;5,5;16,0
3;329;329;Ret;PTA2;5,0;18,1
3;329;329;Ret;TNOC;3,0;20,8
3;329;329;Ret;TPMA;4,7;19,2
3;333;H03;Ida;FPMA;4,0;18,2
3;333;H03;Ida;FPNOC;4,7;21,4
3;333;H03;Ida;FPTA;4,0;17,2
3;333;H03;Ida;NOC;0,0;0,0
3;333;H03;Ida;PMA;5,3;16,5
3;333;H03;Ida;PMD;4,7;17,7
3;333;H03;Ida;PRENOC1;0,0;0,0
3;333;H03;Ida;PRENOC2;3,5;24,7
3;333;H03;Ida;PTA1;5,5;14,9
3;333;H03;Ida;PTA2;5,0;18,3
3;333;H03;Ida;TNOC;3,0;20,7
3;333;H03;Ida;TPMA;4,7;17,8
3;333;H03;Ret;FPMA;4,0;17,5
3;333;H03;Ret;FPNOC;4,7;20,9
3;333;H03;Ret;FPTA;4,0;16,5
3;333;H03;Ret;NOC;0,0;0,0
3;333;H03;Ret;PMA;5,3;16,5
3;333;H03;Ret;PMD;4,7;17,1
3;333;H03;Ret;PRENOC1;0,0;0,0
3;333;H03;Ret;PRENOC2;2,0;22,8
3;333;H03;Ret;PTA1;5,5;12,2
3;333;H03;Ret;PTA2;5,0;17,1
3;333;H03;Ret;TNOC;4,0;20,4
3;333;H03;Ret;TPMA;4,7;17,4
3;348;348;Ida;FPMA;5,0;18,5
3;348;348;Ida;FPNOC;4,7;21,7
3;348;348;Ida;FPTA;4,8;17,2
3;348;348;Ida;NOC;0,0;0,0
3;348;348;Ida;PMA;5,3;16,2
3;348;348;Ida;PMD;5,3;18,1
3;348;348;Ida;PRENOC1;0,0;0,0
3;348;348;Ida;PRENOC2;2,0;25,2
3;348;348;Ida;PTA1;5,5;15,2
3;348;348;Ida;PTA2;5,0;18,8
3;348;348;Ida;TNOC;5,0;19,0
3;348;348;Ida;TPMA;5,3;18,1
3;348;348;Ret;FPMA;5,0;19,0
3;348;348;Ret;FPNOC;4,7;19,7
3;348;348;Ret;FPTA;5,2;17,3
3;348;348;Ret;NOC;0,0;0,0
3;348;348;Ret;PMA;4,7;16,7
3;348;348;Ret;PMD;4,7;18,1
3;348;348;Ret;PRENOC1;0,0;0,0
3;348;348;Ret;PRENOC2;3,5;24,5
3;348;348;Ret;PTA1;6,0;16,0
3;348;348;Ret;PTA2;6,0;17,4
3;348;348;Ret;TNOC;3,0;21,9
3;348;348;Ret;TPMA;4,7;18,7
3;368;I21;Ida;FPMA;5,0;20,0
3;368;I21;Ida;FPNOC;4,0;22,4
3;368;I21;Ida;FPTA;4,0;19,7
3;368;I21;Ida;NOC;0,0;0,0
3;368;I21;Ida;PMA;4,7;14,6
