Unidad de Negocio,Código TS,Código Usuario,Sentido,FREC_PUNTA,FREC_VALLE,INDICE_PUNTA_VALLE,CAP_POR_BUS_PUNTA,TIPO_ZONA
19,1926,226,Ida,7.291666666666667,5.977777777777778,1.2197955390334574,90.0,Periférica
8,807,B07,Ida,6.041666666666666,4.955555555555556,1.2191704035874438,90.0,Periférica
4,480,228,Ret,9.75,8.0,1.21875,91.00000000000001,Periférica
14,1456,I26,Ida,4.875,4.0,1.21875,90.0,Periférica
14,1408,108,Ret,6.791666666666667,5.577777777777778,1.217629482071713,90.0,Periférica
5,506v,506v,Ida,7.25,5.955555555555556,1.2173507462686566,81.0,Periférica
14,1420,320,Ret,5.0,4.111111111111111,1.2162162162162162,60.0,Periférica
16,1633,E03,Ret,6.458333333333333,5.311111111111111,1.2160041841004183,90.0,Periférica
18,1829,229,Ret,6.458333333333333,5.311111111111111,1.2160041841004183,90.0,Periférica
16,1618,E18,Ida,5.291666666666667,4.355555555555556,1.214923469387755,90.0,Periférica
9,929,F09,Ret,6.125,5.044444444444444,1.2142070484581498,90.0,Periférica
3,333,H03,Ida,5.125,4.222222222222222,1.2138157894736843,93.0,Semi-Central
3,333,H03,Ret,5.125,4.222222222222222,1.2138157894736843,93.0,Semi-Central
4,488,G08,Ret,6.875,5.666666666666667,1.213235294117647,91.0,Periférica
5,519,519,Ret,6.625,5.466666666666666,1.2118902439024393,108.6923076923077,Periférica
16,1602,302,Ret,6.375,5.266666666666667,1.2104430379746836,90.0,Periférica
15,1510,110,Ret,5.916666666666666,4.888888888888889,1.2102272727272725,150.0,Periférica
12,1237,117,Ret,6.666666666666667,5.51111111111111,1.209677419354839,90.0,Central
4,470,G35,Ida,5.833333333333334,4.822222222222223,1.2096774193548387,76.0,Periférica
14,1401,101,Ida,5.0,4.133333333333334,1.2096774193548385,90.0,Periférica
3,375,I05,Ret,4.833333333333333,4.0,1.2083333333333333,93.0,Semi-Central
4,475,G15,Ida,7.25,6.0,1.2083333333333333,91.00000000000001,Periférica
10,1044,F14,Ret,7.25,6.0,1.2083333333333333,59.99999999999999,Periférica
16,1628,G28,Ida,6.25,5.177777777777778,1.2070815450643777,90.0,Periférica
5,504,504,Ida,6.875,5.711111111111111,1.203793774319066,81.0,Periférica
4,480,228,Ida,9.625,8.0,1.203125,91.00000000000001,Periférica
2,276,G46,Ida,1.4166666666666665,1.1777777777777778,1.2028301886792452,101.0,Central
3,369,I22,Ret,5.958333333333333,4.955555555555556,1.202354260089686,98.0,Semi-Central
3,314,314,Ida,6.25,5.2,1.2019230769230769,93.0,Semi-Central
3,319,119,Ret,8.0,6.666666666666667,1.2,98.0,Semi-Central
11,1111,C11,Ida,7.458333333333333,6.222222222222222,1.1986607142857142,90.0,Periférica
4,436,286,Ida,6.041666666666667,5.044444444444444,1.1976872246696035,99.0,Periférica
18,1803,203,Ida,7.166666666666667,6.0,1.1944444444444444,150.0,Periférica
4,436,286,Ret,6.5,5.4444444444444455,1.1938775510204078,99.0,Periférica
8,824,B24,Ida,5.25,4.3999999999999995,1.1931818181818183,90.0,Periférica
19,1930,230,Ida,5.458333333333333,4.577777777777778,1.1923543689320386,90.0,Periférica
18,1848,H08,Ret,5.083333333333334,4.266666666666667,1.1914062500000002,90.0,Periférica
18,1871,271,Ret,6.083333333333333,5.111111111111111,1.190217391304348,90.0,Periférica
15,1544,E14,Ida,4.916666666666667,4.133333333333334,1.189516129032258,90.0,Periférica
19,1954,H24,Ret,4.916666666666667,4.133333333333334,1.189516129032258,60.0,Periférica
10,1021,C01,Ida,8.375,7.044444444444444,1.1888801261829653,90.0,Periférica
4,459,G39,Ida,5.875,4.955555555555556,1.1855381165919283,99.0,Periférica
2,211,211,Ret,6.583333333333334,5.5555555555555545,1.1850000000000003,92.0,Central
13,1335,435,Ret,5.791666666666667,4.888888888888889,1.1846590909090908,90.0,Periférica
10,1056,F26,Ida,5.708333333333334,4.822222222222223,1.1837557603686635,90.0,Periférica
15,1531,E01,Ida,5.416666666666666,4.5777777777777775,1.183252427184466,90.0,Periférica
15,1532,E02,Ret,5.625,4.7555555555555555,1.1828271028037383,90.0,Periférica
4,475,G15,Ret,7.25,6.133333333333333,1.1820652173913044,91.00000000000001,Periférica
8,801,B01,Ida,5.041666666666667,4.266666666666667,1.181640625,90.0,Periférica
3,372,I02,Ida,5.25,4.444444444444445,1.18125,93.0,Semi-Central
15,1568,J18,Ida,7.291666666666667,6.177777777777777,1.1803057553956837,90.0,Periférica
14,1401,101,Ret,4.875,4.133333333333334,1.1794354838709675,90.0,Periférica
16,1623,323,Ida,5.833333333333333,4.955555555555556,1.1771300448430493,60.0,Periférica
4,487,G07,Ida,4.708333333333333,4.0,1.1770833333333333,91.0,Periférica
4,487,G07,Ret,4.708333333333333,4.0,1.1770833333333333,91.0,Periférica
4,479,G27,Ida,4.708333333333333,4.0,1.1770833333333333,91.0,Periférica
14,1457,E17,Ida,4.708333333333333,4.0,1.1770833333333333,90.0,Periférica
3,380,I10,Ida,7.75,6.6000000000000005,1.174242424242424,97.99999999999999,Semi-Central
8,808,B08,Ret,5.916666666666667,5.044444444444444,1.1729074889867843,60.0,Periférica
9,938,F18,Ida,6.333333333333334,5.3999999999999995,1.1728395061728398,90.0,Periférica
5,572,422,Ida,6.541666666666666,5.577777777777778,1.1728087649402388,81.0,Periférica
12,1237,117,Ida,6.458333333333334,5.51111111111111,1.1718750000000002,90.0,Central
4,485,I35,Ida,10.0,8.533333333333333,1.171875,76.0,Periférica
14,1411,401,Ret,6.916666666666666,5.911111111111111,1.170112781954887,150.0,Periférica
10,1040,F10,Ret,7.875,6.733333333333333,1.1695544554455446,90.0,Periférica
13,1318,418,Ida,5.791666666666666,4.955555555555556,1.1687219730941703,90.0,Periférica
15,1508,408,Ida,8.125,6.955555555555556,1.1681309904153354,150.00000000000003,Periférica
15,1538,E08,Ret,4.666666666666667,4.0,1.1666666666666667,90.0,Periférica
15,1535,C25,Ida,4.666666666666667,4.0,1.1666666666666667,90.0,Periférica
15,1535,C25,Ret,4.666666666666667,4.0,1.1666666666666667,90.0,Periférica
16,1634,234,Ida,5.75,4.933333333333334,1.1655405405405406,150.0,Periférica
8,816,B16,Ida,6.5,5.577777777777778,1.1653386454183265,90.0,Periférica
19,1954,H24,Ida,4.916666666666667,4.222222222222222,1.1644736842105263,60.0,Periférica
13,1318,418,Ret,5.666666666666667,4.866666666666666,1.1643835616438358,90.0,Periférica
15,1505,505,Ida,8.5,7.333333333333333,1.1590909090909092,150.00000000000003,Periférica
8,841,410,Ida,7.333333333333334,6.333333333333333,1.1578947368421053,150.0,Periférica
11,1142,B22,Ret,5.583333333333333,4.822222222222223,1.1578341013824882,60.0,Periférica
16,1613,E13,Ida,5.583333333333333,4.822222222222223,1.1578341013824882,90.0,Periférica
5,557,407,Ida,8.875,7.666666666666667,1.1576086956521738,81.0,Periférica
11,1119,C19,Ida,6.083333333333334,5.266666666666667,1.1550632911392407,90.0,Periférica
8,828,B28,Ida,4.875,4.222222222222222,1.1546052631578947,90.0,Periférica
10,1044,F14,Ida,6.916666666666666,6.0,1.1527777777777777,60.00000000000001,Periférica
11,1114,C14,Ida,10.291666666666668,8.933333333333334,1.1520522388059702,149.99999999999997,Periférica
14,1466,126,Ida,5.708333333333333,4.955555555555556,1.1519058295964124,90.0,Periférica
5,502,502,Ret,8.291666666666668,7.2,1.1516203703703705,95.19999999999999,Periférica
18,1841,301,Ida,13.916666666666668,12.111111111111109,1.1490825688073398,90.0,Periférica
16,1602,302,Ida,6.0,5.222222222222222,1.1489361702127658,90.0,Periférica
9,929,F09,Ida,5.791666666666666,5.044444444444444,1.1481277533039647,90.0,Periférica
2,238e,G08v,Ida,6.25,5.444444444444444,1.1479591836734695,50.00000000000001,Central
5,504,504,Ret,6.5,5.666666666666667,1.1470588235294117,81.0,Periférica
16,1645,225,Ida,6.5,5.666666666666667,1.1470588235294117,90.0,Periférica
11,1106,C06,Ida,6.625,5.777777777777778,1.1466346153846154,90.0,Periférica
19,1910v,210v,Ret,5.833333333333333,5.0888888888888895,1.1462882096069866,90.0,Periférica
11,1128,C28,Ret,6.875,6.0,1.1458333333333333,90.0,Periférica
4,478,G18,Ret,5.541666666666667,4.844444444444445,1.1439220183486238,76.0,Periférica
18,1841,301,Ret,12.833333333333336,11.222222222222223,1.1435643564356437,89.99999999999999,Periférica
16,1635,E05,Ret,5.791666666666667,5.066666666666666,1.143092105263158,60.0,Periférica
12,1210,D10,Ret,5.0,4.377777777777777,1.1421319796954317,90.0,Central
12,1221c,C01c,Ida,9.125,8.0,1.140625,90.0,Central
18,1871,271,Ida,6.083333333333333,5.333333333333333,1.140625,90.0,Periférica
15,1517,517,Ida,4.708333333333333,4.133333333333334,1.1391129032258063,90.0,Periférica
15,1508,408,Ret,7.541666666666666,6.622222222222223,1.1388422818791946,150.0,Periférica
15,1532,E02,Ida,5.666666666666667,4.977777777777777,1.1383928571428574,90.0,Periférica
11,1105,C05,Ret,6.375,5.6000000000000005,1.138392857142857,90.0,Periférica
5,528,J08,Ret,5.208333333333333,4.577777777777778,1.1377427184466018,81.0,Periférica
10,1022,C02,Ida,7.25,6.377777777777777,1.1367595818815333,90.0,Periférica
15,1538,E08,Ida,4.541666666666667,4.0,1.1354166666666667,90.0,Periférica
18,1845,345,Ida,4.916666666666667,4.333333333333333,1.1346153846153848,90.0,Periférica
3,380,I10,Ret,7.75,6.844444444444445,1.1323051948051948,98.0,Semi-Central
16,1619,J19,Ret,5.458333333333334,4.822222222222223,1.1319124423963134,90.0,Periférica
11,1147,B27,Ida,5.708333333333333,5.044444444444444,1.1316079295154184,90.0,Periférica
11,1147,B27,Ret,5.708333333333333,5.044444444444444,1.1316079295154184,90.0,Periférica
